Designator,Manufacturer Part Number,Qty
"C1, C16, C17, C19, C9, C51, C53, C55, C68",GRM188R71C104KA01D,9
"C10, C15, C18",CL10A475MP5LNNC,3
"C11, C12, C13, C14",GRM31CR60J476ME19K,4
"C2, C3, C6, C7",CL21A106KOFNNNE,4
"C45",C1608C0G1H471J080AA,1
"C46, C47",C1608C0G1H220J080AA,2
"C48, C49, C50, C52, C54, C67",EEE-1CA100SR,6
"C56, C57",EEE-1VA101XP,2
"C60, C62, C64",C1608C0G1H221J080AA,3
"C8, C58, C59, C61, C63, C65, C66, C69, C70, C71",CC0603ZRY5V7BB105,10
"IC1",PESD3V3L5UY,1
"IC15",SN65220DBVR,1
"IC2",AP2331W-7,1
"IC4",MIC5205-3.3YM5-TR,1
"IC5, IC6, IC8",PESD5V0U2BT,3
"IC7",WM8731SEDS/RV,1
"IC9",MAX98306ETD+T,1
"J1, J6, J7",SJ1-3513-SMT-TR,3
"JP3",87583-2010BLF,1
"L1, L2",SRN4018-4R7M,2
"Q3, Q2",DMG1012TQ-7,2
"R1, R12, R14, R15, R16, R17, R2, R54, R55",ERJ-3GEYJ104V,9
"R11, R13, R18, R19, R5, R6",ERJ-3GEYJ470V,6
"R20, R21, R22, R49",ERJ-3GEYJ473V,4
"R23, R40, R45",ERJ-3GEYJ102V,3
"R24, R41",ERJ-3GEYJ224V,2
"R3, R4",ERJ-3GEYJ182V,2
"R43, R44, R46, R53",ERJ-3GEYJ103V,4
"R47, R52",ERJ-3GEYJ101V,2
"R9, R10",ERJ-3GEYJ472V,2
"SODIMM",1473149-4,1
"U1",PAM2306AYPKE,1
"U2",2908-05WB-MG,1
"U3",AP7115-25SEG-7,1
"U4",0471511051,1
"Y1",ABM3B-12.000MHZ-B2-T,1

